,Precio,Consumos,Generaciones
0,0.1431,24.769875,0.0
1,0.125,24.4906175,0.0
2,0.1064,24.630492500000003,0.0
3,0.0937,24.935245,0.0
4,0.0936,27.962245,0.0
5,0.0939,29.61537,0.0
6,0.1034,40.248995,0.0
7,0.1105,47.404995,0.0
8,0.1075,50.1751225,19.4114
9,0.0819,55.648745,37.5
10,0.0669,57.9256175,53.033
11,0.0659,58.5328725,64.9519
12,0.0655,59.050995,72.4444
13,0.0655,59.8354975,75.0
14,0.0659,59.97687,72.4444
15,0.0685,58.4357425,64.9519
16,0.0764,52.6606225,53.033
17,0.1128,48.03087,37.5
18,0.1476,42.783370000000005,19.4114
19,0.1721,35.8773725,0.0
20,0.1775,32.9918675,0.0
21,0.18,31.867495,0.0
22,0.1702,28.625245,0.0
23,0.1678,27.4192425,0.0
